Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
Georgioupolis is 48 km from Anastasia Apartments, while Agia Galini is 36 km away.	В 48 км от комплекса Anastasia находится город Георгиуполис, а в 36 км — деревня Агиа-Галини.
The property is 12 km from the Expo 2015 Exhibition Centre.	Расстояние до выставочного центра «Экспо-2015» составляет 12 км.
Lie back and unwind in the garden pavilion, on the sun terrace or even on your own room balcony.	Расслабьтесь в садовой беседке, на террасе для загара или на балконе собственного номера.
During summer, you can dine on Svateho Lukase’s terrace while children can romp around on an on-site playground.	Летом гости могут пообедать на террасе гостевого дома Svateho Lukase, а дети могут повеселиться на игровой площадке.
Guests enjoy benefits at the partner Taborin Italian Restaurant, which is only 100 metres away.	Постояльцам отеля предоставляются скидки в партнерском итальянском ресторане Taborin, который находится всего в 100 метрах от отеля.
A wide range of therapies and treatments is available.	Кроме того, здесь гостям предложат различные виды лечебных и других процедур.
Every room at this guest house is air conditioned and features a flat-screen TV.	Все номера оснащены кондиционером и телевизором с плоским экраном.
The kitchenette has a refrigerator and a dining area.	Мини-кухня с обеденной зоной оборудована холодильником.
Extras include a washing machine and a fan.	Кроме того, в апартаментах есть стиральная машина и вентилятор.
The property offers free parking.	Гостям, путешествующим на автомобиле, предоставляется бесплатная парковка.
Drinks, live music and views of the ocean are available at the hotel’s bar.	В баре отеля гостей ждут напитки, живая музыка и вид на океан.
Featuring a bath tub or shower, private bathroom comes with a hairdryer and free toiletries.	В собственной ванной комнате с ванной или душем предоставляются бесплатные туалетно-косметические принадлежности и фен.
Guests can enjoy free access to tennis courts and table tennis facilities.	Гости могут бесплатно поиграть в настольный теннис и в большой теннис на теннисных кортах.
Free WiFi access is available.	К услугам гостей бесплатный WiFi.
Free WiFi is available and free private parking is available on site.	К услугам гостей бесплатный Wi-Fi и бесплатная частная парковка на территории.
The Comfort Suites hotel is conveniently located less than five miles from the Save Mart Center at Fresno State.	Отель Comfort Suites расположен в удобном месте в городе в Фресно, менее чем в 8 км от концертно-спортивного комплекса Save Mart Center at Fresno State.
Staff at the Pos Chiquito Apartments can provide information about the surrounding area and the rest of Aruba.	Сотрудники комплекса Pos Chiquito могут предоставить информацию об окрестностях и всего острова Аруба.
A restaurant is 80 metres away and within a 5-minute drive, you can also reach a grocery store.	В 80 м от отеля работает ресторан. Продуктовый магазин находится в 5 минутах езды.
You can easily get to the city centre form Bottero Bus Stop located next to the hotel, and to Nice Côte d'Azur Airport from a bus stop located a 10-minute walk away.	От соседней автобусной остановки Bottero легко добраться до центра города, а до аэропорта Ницца — Лазурный Берег отправляются автобусы с другой остановки, расположенной в 10 минутах ходьбы от отеля.
You can explore Wen Temple and Hongshan Park in a walking distance of the hotel.	До храма Вен и парка Хонгшан несколько минут ходьбы.
Built according to the traditional architecture, Magic Mountain is located in Klafsi Village among a lush forest.	Гостевой дом Magic Mountain, выстроенный в традиционном стиле из камня, разместился среди густого леса в деревне Клафси.
An oven, a fridge and a stovetop can be found in the kitchen and there is a private bathroom.	В распоряжении гостей собственная ванная комната и кухня с духовкой, холодильником и плитой.
The famous Parisian cabarets are located a 10-minute walk away.	Прогулка до знаменитых парижских кабаре занимает 10 минут.
Offering stylish rooms with free Wi-Fi, The Saba Hotel is set in El Cangrejo, 15 minutes’ walk from Plaza Concordia Square and Panama City's financial district.	Отель Saba расположен в районе Эль-Кангрехо, в 15 минутах ходьбы от площади Пласа-Конкордия и финансового района города Панама. В его стильных номерах предоставляется бесплатный Wi-Fi.
Other facilities offered at the property include a tour desk.	В распоряжении гостей экскурсионное бюро.
The bright, modern Apartour Apartments are air-conditioned and feature an LED TV in the living room.	Светлые современные апартаменты комплекса Apartour оснащены кондиционером, а также телевизором со светодиодной подсветкой в гостиной.
For your comfort, you will find bath robes and free toiletries.	Гостям предоставляются банные халаты и туалетно-косметические принадлежности.
Located 600 metres from Dolby Theater and 1.3 km from Hollywood Bowl, Hollywood Modern Penthouse offers accommodation in Los Angeles.	Апартаменты Hollywood Modern Penthouse с кондиционером расположены в городе Лос-Анджелес, в 600 м от театра «Долби» и в 1,3 км от концертного зала «Голливудская чаша».
Some of the suites feature a spa bath.	В некоторых люксах установлена гидромассажная ванна.
The hotel’s tour desk helps guests organise excursions to tourist attractions.	Сотрудники туристического бюро организуют для вас экскурсии к местным достопримечательностям.
A business centre that offers fax and photocopying services is also provided.	В бизнес-центре предоставляются факс и копировальные услуги.
Units are equipped with a TV and telephone.	В номерах установлены телевизор и телефон.
London Heathrow Airport is a 15-minute taxi ride away.	Лондонский аэропорт Хитроу находится в 15 минутах езды на такси.
Some units include a seating area and/or terrace.	На некоторых виллах имеется гостиный уголок и/или терраса.
The rooms are fitted with a flat-screen TV.	Все номера оснащены телевизором с плоским экраном.
The property is 7.2 km from Arena das Dunas and 13.9 km from Forte dos Reis Magos.	Апартаменты расположены в 7,2 км от стадиона «Арена-дас-Дунас» и в 13,9 км от крепости Форте-дас-Рейс-Магос.
A continental breakfast is served every morning.	Каждое утро сервируется континентальный завтрак.
Additional features include free Wi-Fi access and bike and motorbike parking.	Прочие услуги и удобства включают в себя бесплатный беспроводной доступ в Интернет и парковку для велосипедов и мотоциклов.
Some rooms include a balcony or terrace.	Некоторые номера также располагают балконом или террасой.
These condominiums are located right in the center of the charming Rocky Mountain town of Canmore.	Эти кондоминиумы расположены прямо в центре очаровательного города Роки-Маунтин в Кэнморе.
Guests can taste the sweets, cheeses and delicacies of the region and follow the historical tour guide.	Вы сможете попробовать различные местные сладости, сыры и деликатесы, а также осмотреть исторические памятники.
The villa is located within a 10-minute walk of La Floresta Train Station and a 25-minute drive of Barcelona City Centre.	Вилла расположена в 10 минутах ходьбы от железнодорожного вокзала Ла Флореста и 25 минутах езды от центра Барселоны.
Gorgeous Brunswick is a holiday home located in the heart of vibrant, eclectic Hove, just off the seafront and a short walk from Hove's high quality shops, cafés, restaurants and bars.	Gorgeous Brunswick — это дом для отпуска, расположенный в самом сердце оживленного эклектичного города Хоув, рядом с набережной и в нескольких минутах ходьбы от высококачественных магазинов, кафе, ресторанов и баров города.
Full of charming period features, the hotel retains its original, century-old staircase and polished wood floors.	В отеле сохранены очаровательные особенности прошлой эпохи: полированные деревянные полы и лестница, которой более ста лет.
Set in the suburbs just outside of downtown St. Paul and surrounded by major corporations including 3M, this Oakdale, Minnesota hotel offers spacious guestrooms with microwaves and mini-refrigerators.	Отель, расположенный в городе Окдейл, штат Миннесота, неподалеку от центра города Сент-Пол, окружен офисами крупных корпораций, включая компанию 3М. К услугам гостей просторные номера с микроволновой печью и мини-холодильником.
The nearest airport is Split Airport, 11 km from Apartment Alberto 1.	Расстояние до аэропорта Сплит, ближайшего к апартаментам «Alberto 1», составляет 11 км.
Opened in 2010, Hotel Vittoria is in San Giovanni Rotondo centre less than 5 minutes' walk from the Sanctuary of Padre Pio.	Отель Vittoria, открытый в 2010 году, расположен в центре Сан Джованни Ротондо, менее чем в 5 минутах ходьбы от святилища Падре Пио.
Cable TV is available in each room at Hotel Joutsenkulma, as well as a bathroom with shower.	Все номера отеля Joutsenkulma располагают телевизором с кабельными каналами и ванной комнатой с душем.
Meals can be enjoyed at the outdoor serving during summer.	В летнее время блюда могут подать на открытом воздухе.
The hotel also offers rooms with access for guests with reduced mobility.	В отеле есть номера, подходящие для размещения гостей с ограниченными физическими возможностями.
Located a 15-minute walk from the city centre of Lisbon, Charming Santos features a self-catering apartment with free Wi-Fi. Santos Train Station is a 5-minute walk away.	Апартаменты Charming Santos расположены в 15 минутах ходьбы от центра Лиссабона, в 5 минутах ходьбы от железнодорожного вокзала Сантос. К услугам гостей собственная кухня и бесплатный WiFi.
Located just off highway I-64 in Huntington, this hotel is just 10 miles from Heritage Farm and World Famous Blenko Glass Company.	Этот отель находится недалеко от шоссе I-64 в Хантингтоне, всего в 16 км от фермы Херитэдж и всемирно известной стекольной компании Blenko.
Guest can benefit from the swimming at the sister property of Villa Dreams, 1 km away from the hotel.	В 1 км от отеля находится вилла-партнер Dreams, где можно искупаться в бассейне.
The hotel is 2.3 km from Vidarbha Cricket Association Stadium and 7 km from Deeksha Bhoomi and Futala Lake. Dr.	Отель находится в 2,3 км от стадиона ассоциации крикета Видарбха и в 7 км от ступы Дикшабхуми и озера Футала.
Services include boat rentals and guest laundry.	Удобства включают в себя пункт проката лодок и гостевую прачечную.
For convenience, it features a washer and tumble dryer and a private bathroom with a hairdryer.	В собственной ванной комнате предоставляется фен.
Hotel Lucheng is a 3-minute drive from Yandang Mountain, and a 20-minute drive from Wenzhou Train Station. The Wenzhou YongQiang Airport is a 30-minute drive away.	От отеля Lucheng можно за 3 минуты добраться на автомобиле до горы Янданг, за 20 минут - до железнодорожного вокзала города Вэньчжоу и за 30 минут - до аэропорта Вэньчжоу Йонг-Кьянг.
Rooms here will provide you with a TV and pay-per-view channels.	В номерах мини-гостиницы установлен телевизор, транслирующий каналы с разовой платой за просмотр.
All apartments at Haus in der Loferau include cable TV and have a balcony or a terrace.	Все апартаменты в комплексе Haus in der Loferau располагают балконом или террасой, гости могут смотреть кабельное телевидение.
You will find a 24-hour front desk at the property.	Стойка регистрации работает круглосуточно.
Other facilities offered at the property include a shared lounge, a tour desk and luggage storage.	В числе других удобств общий лаундж, экскурсионное бюро и камера хранения багажа.
There is a full equipped kitchen with a dishwasher and a microwave.	В распоряжении гостей также полностью оборудованная кухня с посудомоечной машиной и микроволновой печью.
Located a 15-minute walk from Belorusskaya and Ulitsa 1905 Goda Metro Stations, Sadovoye Koltso Belorusskaya Apartments feature a seating area and a TV.	Апартаменты «Садовое кольцо Белорусская» с гостиным уголком и телевизором расположены в 15 минутах ходьбы от станций метро «Белорусская» и «Улица 1905 года».
The lodge features free WiFi throughout the property.	На всей территории комплекса доступен бесплатный Wi-Fi.
There is a dining area and a kitchen complete with an oven and a microwave. A flat-screen TV is provided.	В числе удобств обеденная зона, кухня с духовкой и микроволновой печью, а также телевизор с плоским экраном.
Featuring a shower, the private bathrooms also has free toiletries.	Собственные ванные комнаты с душем укомплектованы бесплатными туалетно-косметическими принадлежностями.
Machong 8 Inn has a 24-hour front desk offering free luggage storage.	В мини-гостинице Machong 8 Inn с круглосуточной стойкой регистрации гости могут воспользоваться бесплатной камерой хранения багажа.
There is a seating area, a dining area and a kitchen complete with a dishwasher, an oven and a microwave.	В числе удобств гостиная зона, обеденная зона и кухня с микроволновой печью, духовкой и посудомоечной машиной.
Situated 8 minutes drive from central Bloemfontein, Monte Christo Country Lodge offers en-suite rooms, banquet facilities and private parking.	Загородный коттедж Monte Christo расположен в 8 минутах езды от центра города Блумфонтейн. В распоряжении гостей номера с ванной комнатой, банкетный зал и частная парковка.
All rooms come with a flat-screen TV with cable channels, a writing desk and a sofa.	Все номера располагают телевизором с плоским экраном и кабельными каналами, письменным столом и диваном.
Milan Linate Airport is 29 km away.	До аэропорта Милан-Линате — 29 км.
It features an outdoor pool in a private courtyard, a rooftop sun deck and free WiFi throughout.	К услугам гостей открытый бассейн в уединенном внутреннем дворе, терраса для загара на крыше и бесплатный Wi-Fi на всей территории.
Offering a seasonal outdoor pool and barbecue, Finca Sa Cova Vella is situated in Manacor, 47 km from Palma de Mallorca. Free WiFi is offered and free private parking is available on site.	Апарт-отель Finca Sa Cova Vella расположен в городе Манакор, в 47 км от города Пальма-де-Майорка. К услугам гостей сезонный открытый бассейн, принадлежности для барбекю, бесплатный Wi-Fi и бесплатная частная парковка на прилегающей территории.
All rooms are equipped with a TV and a seating area.	Все номера гостевого дома располагают телевизором и гостиной зоной.
The nearest airport is Girona-Costa Brava Airport, 54 km from the country house.	Расстояние от загородного дома до ближайшего аэропорта Жирона — Коста-Брава составляет 54 км.
There is also a ski school available at the hotel.	При отеле также открыта лыжная школа.
Hostel Svoboda 9 is located in Yaroslavl city centre, 1.2 km from embankment.	Хостел «Свобода 9» находится в центре Ярославля, в 1,2 км от набережной.
The property is only 3 km to the Gold Souk. Dubai International Airport is 13 km from Hues Boutique Hotel.	Отель находится всего в 3 км от Золотого рынка, а Международный аэропорт Дубай находится в 13 км.
Free Wi-Fi is available in all areas.	На всей территории предоставляется бесплатный WiFi.
There is an on-site restaurant and 24-hour room service is available at Hotel Mirador	В числе прочих удобств ресторан и круглосуточная доставка еды и напитков в номер.
A children's playground, shared kitchen and barbecue facilities are offered at Aureliya Guest House.	В числе удобств гостевого дома «Аурелия» также детская игровая площадка, общая кухня и принадлежности для барбекю.
Relax in tranquil surroundings, admiring the glorious views of the Towy Valley, which can be enjoyed from all 23 modern, well-appointed, en suite bedrooms.	Из окон всех 23 современных, хорошо оборудованных номеров с тихой атмосферой открывается великолепный вид на долину Тауи. В распоряжении гостей собственная ванная комната.
Life Atlibay Hotel is set on the seafront of Mediterranean region with its private sandy beach.	Отель Life Atlibay расположен на берегу Средиземного моря.
Visitors arriving to the property will find it within walking distance to Dubai Metro, centrally accessible to the city's premier lifestyle destinations, such as Ski Dubai, Jumeirah Beach Residence, Jebel Ali Free Zone, which makes it an ideal choice for both leisure and business travelers.	Отель занимает идеальное местоположение как для туристов, так и для деловых путешественников: метро Дубая находится в нескольких минутах ходьбы от отеля, а в центре гости могут ознакомиться с главными достопримечательностями города, например, посетить крытый горнолыжный комплекс Ski Dubai, осмотреть здание Джумейра-Бич-отеля, побывать в свободной экономической зоне Джебель Али.
At breakfast, you can enjoy a rich buffet that includes Italian coffee, freshly baked croissants and local products.	На завтрак вы можете насладиться богатым завтраком "шведский стол", который включает в себя итальянский кофе, свежеиспеченные круассаны и местные продукты.
Free private parking is available on site.	К услугам гостей бесплатная частная парковка на территории.
The memorial temple built in the memory of Gandhiji, Kirti Mandir is 2 km away while the Sudama Temple is 1 km away.	Мемориальный храм Кирти Мандир, построенный в память о Ганди, находится в 2 км от отеля, а храм Судама и автобусный вокзал Порбандар — в 1 км.
Each apartment includes a seating area, dining area and a fully-equipped kitchenette.	Во всех из них есть гостиный уголок, обеденная зона и полностью укомплектованная мини-кухня.
Located just 10 minutes’ walk from the famous walking Arbat Street in Moscow, these apartments feature a fully equipped kitchen and free Wi-Fi. Smolenskaya Metro Station is less than 1 km away.	Эти апартаменты находятся в Москве, в 10 минутах ходьбы от знаменитой пешеходной улицы Арбат и всего в 1 км от станции метро «Смоленская». К услугам гостей полностью оборудованная кухня и бесплатный Wi-Fi.
The accommodation will provide you with a TV, DVD, sauna and a hot tub.	К услугам гостей телевизор, DVD-плеер, сауна и гидромассажная ванна.
Cape St Francis beach is only a short walk away from the apartments.	Прогулка от комплекса до пляжа Кейп-Сент-Френсис занимает всего несколько минут.
The 24-hour reception can organise horse riding.	Сотрудники круглосуточной стойки регистрации с удовольствием организуют для желающих занятия верховой ездой.
A safety deposit box can be used at an additional charge.	За дополнительную плату можно пользоваться сейфом.
Offering an outdoor pool, seasonal outdoor pool and sun terrace, Château de Darrech is situated in Tasque in the Midi-Pyrénées Region. 49 km from Pau.	Отель типа «постель и завтрак» Château de Darrech с сезонным открытым бассейном и террасой для загара находится в коммуне Таск в регионе Юг-Пиренеи, в 49 км от города По.
Massage services are also offered at a surcharge.	За дополнительную плату предоставляются услуги массажа.
You will find a kettle in the room.	В числе удобств чайник в номере.
Featuring a shower, the 2 private bathrooms also come with a bath or shower.	В числе удобств 2 собственные ванные комнаты с душем или ванной.
Located in Phuket within a 7-minute walk from Andaman Sea’s shores, BYG Private Pool Villa @ Rawai Beach offers villas with a private outdoor swimming pool and a private garden. Free WiFi and private parking facilities are also available.	Комплекс вилл BYG Private Pool Villa @ Rawai Beach расположен на острове Пхукет, в 7 минутах ходьбы от берега Андаманского моря. К услугам гостей виллы с собственным открытым бассейном и отдельным садом, а также бесплатный WiFi и бесплатная частная парковка.
Every room at the property includes elegant chalet-style décor with a TV.	Каждый номер в отеле оформлен в элегантном стиле шале и оснащен телевизором.
Breakfast can also be brought to your room on request.	По запросу завтрак может быть подан в номер.
Seven Village also includes a barbecue.	Гости апартаментов Seven Village могут воспользоваться принадлежностями для барбекю.
Narimanovo Airport is 9 km away.	Расстояние до аэропорта Нариманово составляет 9 км.
The property is just a 10-minute drive from many local and international restaurants.	Вилла находится всего в 10 минутах езды от разнообразных местных и международных ресторанов.
The summertime restaurant with bar has a TV room and a large sun terrace with views over the water.	В комплексе работает летний ресторан с баром, лаунджем с телевизором и большой солнечной террасой с видом на канал.
Guests can sunbathe on the terrace or take a dip in the outdoor swimming pool.	Гости имеют возможность позагорать на террасе или искупаться в открытом бассейне.
Room service options are also available.	Кроме того, производится доставка еды и напитков в номер.
Room service is also offered.	Также производится обслуживание номеров.
Each of the self-catering apartments at Disilitca has its own private balcony. They are equipped with cooking facilities and a modern bathroom.	Каждые апартаменты Disilitca располагают собственным балконом, кухней и современной ванной комнатой.
Indoors, guests can relax and read a book in the lounge areas or enjoy the serenity of the garden.	Гости могут отдохнуть и почитать книгу в крытом лаундже или в тихом саду.
If you feel like visiting the surroundings, check out Marari Beach that is 25 km and the Karunakaran Musuem that is 30 km.	Желающие исследовать окрестности могут посетить пляж Марари (в 25 км) и музей Карунакаран (в 30 км).
All types of bar and restaurants can be found within walking distance.	В нескольких минутах ходьбы от апартаментов работают различные бары и рестораны, среди которых каждый из гостей сможет найти заведение по своему вкусу.
The Valli del Mincio nature protection area is 6 km from Ostello dei Concari.	В 6 км от хостела Ostello dei Concari расположена природоохранная зона Валли-дель-Минчо.
Other activities include nature walks and fishing.	В свободное время также можно отправиться на прогулки или заняться рыбной ловлей.
You can play billiards at the property, and the area is popular for skiing and fishing.	На месте можно поиграть в бильярд. В окрестностях популярна рыбная ловля и лыжный спорт.
There is also a private sauna and a spa bath in some rooms.	Помимо этого, часть номеров располагают собственной сауной и гидромассажной ванной.
Just 300 metres from the Jakubova lúka Ski Centre, this apartment house can be found 1 km from the centre of Starý Smokovec.	Этот комплекс апартаментов расположен всего в 300 метрах от горнолыжного центра Якубова-Лука и в 1 км от центра курорта Старый Смоковец.
The budget hotel has a 24-hour front desk and free WiFi throughout.	В этом бюджетном отеле к вашим услугам круглосуточная стойка регистрации и бесплатный WiFi на всей территории.
This Langhorne, Pennsylvania hotel offers free shuttle service to Sesame Place, a theme park.	Отель Courtyard Philadelphia Langhorne находится в городе Лэнгхорн, штат Пенсильвания, а его гостям предоставляется бесплатный трансфер до парка аттракционов Сезам-Плейс.
It includes a sofa and flat-screen TV in the living room.	В гостиной установлена диван-кровать и телевизор с плоским экраном.
The nearest ski lift of the Gosau-Dachstein West Ski Resort is 7 km away, while Hallstatt and the Steeg-Gosau Train Station are 15 km away from the Pilz Ferienwohnung.	Ближайшего подъемник горнолыжного курорта Гозау-Дахштайн Вест находится в 7 км, а железнодорожный вокзал Гальштата и Стеег-Гозау расположен в 15 км от апартаментов Pilz Ferienwohnung.
Set next to Lake Doyran, Apartments Maja is located in Star Dojran and offers self-catering accommodation with a lake-view balcony and free WiFi access.	Комплекс Apartments Maja расположен рядом с озером Дойран, в городе Стар-Дойран. К услугам гостей апартаменты с собственной кухней и балконом с видом на озеро и бесплатным WiFi.
Free WiFi access is available.	Действует бесплатный WiFi.
Asian and Western buffet meals are available at Garden Bar.	В баре Garden сервируется "шведский стол" из блюд азиатской и западной кухни.
Front desk provides airport and city shuttle service at an extra charge.	За дополнительную плату сотрудники стойки регистрации организуют трансфер от/до аэропорта и города.
The nearest airport is Tirana Airport, 27 km from Delta Hotel & Events.	Расстояние от отеля Delta & Events до аэропорта Тираны составляет 27 км.
There are 2 acres of pretty gardens, and you can relax in outdoor seating areas with views of the local area.	На территории отеля разбиты живописные сады площадью 8000 кв.м., гости могут отдыхать в гостиной зоне под открытым небом с видом на окрестности.
Guests can enjoy the on-site restaurant. Free private parking is available on site.	На территории работает ресторан и обустроена бесплатная частная парковка.
Free Wi-Fi access is available in all areas.	Предоставляеется бесплатный WiFi на всей территории
Old Town Square with the Orloj Astronomical Clock can be reached within 2 km, whilst the Charles Bridge is 2.5 km away.	Староместская площадь с Пражскими курантами находится в 2 км, а Карлов мост — в 2,5 км.
At International Travellers' Hostel you will find a terrace, a garden and Bistro. Other facilities offered at the property include a shared lounge/TV area with card and board games and a vegetarian friendly kitchen facility.	На территории хостела International Travellers' есть терраса, сад, бистро, общая гостиная/зона с телевизором и карточными и настольными играми, а также кухня с принадлежностями для приготовления вегетарианских блюд.
There is also a kitchenette, fitted with a microwave. A fridge and kettle are also featured.	Мини-кухня укомплектована микроволновой печью, холодильником и чайником.
The apartments come with a balcony and a bathroom with a shower.	В апартаментах есть балкон и ванная комната с душем.
Built according to the Cycladic architecture, the spacious villa includes air conditioning and a flat-screen TV. It also has a fully equipped kitchen with dining area and modern appliances, and a bathroom with a shower, hairdryer and free toiletries.	Архитектура этой просторной виллы выполнена в кикладском стиле. В числе удобств кондиционер, телевизор с плоским экраном, полностью оборудованная кухня с обеденной зоной и современной бытовой техникой, а также ванная комната с душем, феном и бесплатными туалетно-косметическими принадлежностями.
The nearest airport is Gabala International Airport, 90 km from Guesthouse Ilisu.	Расстояние от гостевого дома «Илису» до международного аэропорта Габала составляет 90 км.
Linate Airport is only 7 km away.	Аэропорт Линате находится всего в 7 км от отеля.
The Cherry Capital Airport and US Coast Guard Air Station are both 3 miles from this motel.	Расстояние от мотеля до аэропорта Черри-Кэпитал и авиабазы береговой охраны США составляет 4,8 км.
All accommodation is located on the ground floor, offering easy access to the free on-site parking area.	Все номера расположены на 1 этаже, чтобы гостям было удобней добираться до бесплатной парковки на территории мотеля.
Puerta del Sol Square is 500 metres from the apartment and Gran Via Boulevard is a 10-minute walk away.	Расстояние от апартаментов до площади Пуэрта-дель-Соль составляет 500 метров, а до бульвара Гран-Виа можно дойти за 10 минут.
Breakfast ingredients are provided.	Гостям предоставляются продукты для приготовления завтрака.
Togo B&B also offers outdoor lounge areas with hammocks.	На территории отеля типа «постель и завтрак» Togo обустроены зоны с гамаками для отдыха на открытом воздухе.
The restaurant features traditional Friulian dishes and has a large selection of wine.	В ресторане подаются традиционные фриулийские блюда с большим выбором вин.
There are also some dining options nearby.	По соседству с отелем работает несколько кафе и ресторанов.
Free WiFi access is available in all areas.	На всей территории работает бесплатный WiFi.
The en suite bathroom has free toiletries.	В собственной ванной комнате предоставляются бесплатные туалетно-косметические принадлежности.
Charles De Gaulle Airport is 24 km away from Lokappart – Assas.	Расстояние от апартаментов Lokappart - Assas до аэропорта имени Шарля-де-Голля составляет 24 км.
Faleolo International Airport is a 1-hour and 30-minute drive away.	Поездка до международного аэропорта Фалеоло занимает 1 час 30 минут.
Boat trips are organised out to the Atlantic islands Cíes and Ons.	Организуются морские прогулки до островов Сиес и Онс в Атлантическом океане.
The private bathroom with bath tub includes toiletries.	В ванной комнате номера вы можете принять ванну и воспользоваться туалетно-косметическими принадлежностями.
The Royal Standard Guest House is a family-run bed and breakfast that offers comfortable surroundings in the heart of Virginia Water, close to country pubs, restaurants and shops.	Семейный гостевой дом типа «постель и завтрак» Royal Standard удобно расположен в центре поселка Вирджиния-Уотер, в непосредственной близости от пабов, ресторанов и магазинов.
Traditional décor and framed artwork are included in each suite at the Room-Club Hotel.	В каждом люксе отеля Room-Club вас ждут традиционный декор и произведения искусства в рамах.
Guests can enjoy the on-site restaurant.	При гостевом доме работает ресторан.
The Statue of Our Lady of Lebanon at Harissa is a 15-minute drive away.	До статуи Ливанской Богоматери - 15 минут езды.
Located in Chiang Mai, STrips the Poshtel offers neat and clean accommodation with free WiFi throughout. Private parking is provided for those who drive and is free of charge.	Хостел STrips the Poshtel расположен в городе Чиангмай. К услугам гостей аккуратные чистые номера с бесплатным Wi-Fi во всех зонах, а также бесплатная частная парковка.
The hotel is 1.5 km from Ben Thanh Market and the Reunification Palace.	Отель находится в 1,5 км от рынка Бен Тхань и от Дворца Воссоединения.
Shah Faisal Mosque is 11 km from Cool Sun Fully Furnished Home, while Pakistan Monument is 11 km from the property.	Мечеть Шах Фейсала и памятник Пакистану находятся в 11 км от комплекса Cool Sun Fully Furnished Home.
Studio Vipera features free WiFi throughout.	Во всех зонах апартаментов-студио Vipera работает бесплатный Wi-Fi.
Located in a quiet street close to Lake Geneva, the train station and the international organisations, the Kipling Manotel offers air-conditioned rooms and free WiFi access.	Отель Kipling Manotel расположен на тихой улице недалеко от Женевского озера, железнодорожного вокзала и офисов различных международных организаций. К услугам гостей номера с кондиционером и бесплатный WiFi.
A flat-screen TV and Blu-ray player, as well as a CD player are featured.	В числе удобств — телевизор с плоским экраном, Blu-ray-плеер и CD-плеер.
Guests can spend the day snorkeling or boating on the bay, while the kids have fun with organized activities such as drawing and handcrafts.	Гости могут провести день, занимаясь сноркелингом или плавая на катере по заливу, пока дети будут развлекаться, рисовать и мастерить поделки под присмотром.
Casanovas Hotel Boutique is 15-minute drive from El Dorado International Airport.	Поездка от бутик-отеля Casanovas до международного аэропорта Эль-Дорадо займет 15 минут.
Haus Kristall is located 300 metres from the centre of Mellau in the Bregenz Forest and 1 km from the Mellau Ski Area, with direct access to the cross-country skiing slopes, and a ski bus stops just a few metres from the house.	Апартаменты Haus Kristall расположены в 300 метрах от центра поселка Меллау в лесу округа Брегенц и в 1 км от горнолыжной зоны Меллау, а лыжный автобус останавливается всего в нескольких метрах от здания.
The guests can enjoy a view of the dunes from the rooms.	Из комнат открывается вид на дюны.
Hotel Vip Executive Azores is 5 minutes’ drive from Ponta Delgada historic centre and offers private covered parking.	Отель Vip Executive Azores находится в 5 минутах езды от исторического центра Понта-Делгада. Гости могут воспользоваться крытой парковкой.
Private bathroom offers a shower, while the balcony offers a view of the sea.	В собственной ванной комнате установлен душ, а с балкона открывается вид на море.
